platform_name,gender_filter_offered,filter_type,pricing_model,price_usd_monthly,price_usd_one_time,steps_to_access_filter,signup_required,payment_required_before_preview,date_audited,notes,source_url,verification_method
Chatspin,yes,self-reported,paywalled,19.99,,unverified,yes,no,2026-08-11,"Fully verified in-product; the pass-1 gap is closed. Five screenshots 2026-08-11 14:05-14:07 of chatspin.com/support/plus-pricing/. (1) The ""FREE VS PLUS"" comparison, headed ""THE HONEST TABLE — Free isn't a demo. Here's exactly what Plus adds,"" lists Gender Filter (captioned ""Male / Female / Couple. Your pick"") with a padlock in the FREE $0 column and a check in the PLUS column, alongside Intro Message and Private Chat. Unlimited matches shows ""Daily limit"" on free; Zero ads shows ""A few ads"". (2) The interactive filter demo on the ""THE FILTER"" tab, set to FREE, renders Everyone as selectable while Female, Male and Couple each carry a padlock; the country dropdown beneath is labelled ""Free with an account."" Strapline: ""With a free account you pick the country. With Plus, the person."" (3) The PLANS tab lists Gender Filter first under ""EVERY PLAN"". Tiers: TRIAL $7.99 first week then $29.99/mo (+500 tokens); 1 MONTH $19.99/mo, 33% off the $29.99 standard, about $0.67/day (+2,000); 6 MONTHS $14.99/mo, 50% off standard, about $0.50/day, ""$89.94 billed every 6 months"" (+5,000). ""Cancel anytime in Settings... Renews automatically until canceled; we email you 3 days before every renewal."" price_usd_monthly records the $19.99 one-month plan; $29.99 is the standard rate the trial rolls into. The contradiction is between pages rather than within one: the pricing page states the gating accurately and even labels itself the honest table, while the homepage presents the Gender Filter as step 1 of 3 beneath a ""No sign up required"" banner. The homepage male/female/couple control is a self-declaration of the visitor's own gender, not a filter.",https://chatspin.com/support/plus-pricing/,paywall-screenshot
Shagle,yes,self-reported,paywalled,19.99,,unverified,yes,no,2026-08-11,"Paywall confirmed by screenshot 2026-08-11 11:31: ""Upgrade to Shagle VIP"" modal opened on the Gender Filter frame, captioned ""Use our gender filter to connect with women, men or couples more quickly and easily,"" beneath a red banner reading ""Upgrade now to unlock this feature."" Tiers: 6 months $14.99 per month rebilling every 6 months at $89.99; 1 month $19.99 per month rebilling monthly at $19.99; 1 week $7.99 trial rebilling monthly at $29.99. Directly resolves the site's own contradiction — homepage Key Features lists the Gender Filter unqualified while the FAQ restricts it to premium members. The FAQ is correct.",https://shagle.com/,paywall-screenshot
Chatrandom,yes,self-reported,paywalled,19.99,,unverified,yes,no,2026-08-11,"Paywall confirmed by screenshot 2026-08-11 11:32: ""Upgrade to chatrandom PLUS"" modal opened on the Gender Filter frame with copy identical to Shagle, Camgo and Flingster. Tiers: 6 months $3.50 per week rebilling every 6 months at $89.99; 1 month $4.99 per week rebilling monthly at $19.99; 1 week $7.99 trial rebilling monthly at $29.99. Corrects pass 1, which recorded the filter as advertised without qualification and its pricing as undocumented. The homepage listing ""Choose to chat with women, men, or couples"" among free-looking top features is contradicted by the in-product paywall.",https://chatrandom.com/,paywall-screenshot
Camgo,yes,self-reported,paywalled,19.99,,unverified,yes,no,2026-08-11,"Corrects pass 1, which could not establish whether a gender filter existed at all. Paywall confirmed by screenshot 2026-08-11 11:34: ""Get Camgo +"" modal opened on the Gender Filter frame, same verbatim copy as Shagle, Chatrandom and Flingster. Tiers: 6 month $89.94 at $3.50 per week; 1 month $19.99 at $4.66 per week; 1 week $7.99 trial rebilling monthly at $19.99 — note Camgo's trial rebills at $19.99 where the sibling brands rebill at $29.99. Public marketing copy describes only interest matching and a self-declaration control, and never mentions the gender filter that the paywall sells.",https://www.camgo.com/,paywall-screenshot
Flingster,yes,self-reported,paywalled,19.99,,unverified,yes,no,2026-08-11,"Paywall confirmed by screenshot 2026-08-11 11:35: ""Upgrade to FLINGSTER VIP!"" modal opened on the Gender Filter frame, same verbatim copy as its sibling brands. Tiers: 6 months $14.99 per month rebilling every 6 months at $89.94; 1 month $19.99 per month rebilling monthly at $19.99; 1 week $7.99 trial rebilling monthly at $29.99. Page chrome behind the modal shows an active country control and a Gender control. Consistent with the site's own statement that premium is required to unlock all filters.",https://flingster.com/,paywall-screenshot
Camsurf,no,none,freemium,,,n/a,no,n/a,2026-08-11,"No screenshot captured in this pass — status unchanged from public pages. FAQ states filtering was deliberately not built: ""As a random chat site, we have not developed many filters because we want to keep the entire concept of this chat site random. However, you do have the ability to filter users according to their location."" About page claims the service is ""100% free"" while navigation exposes a PLUS Member state and an Upgrade link with undocumented contents. Absence of a gender filter remains unconfirmed in-product.",https://camsurf.com/faq,public-pages
Camloo,yes,self-reported,activity-gated,,5.50,unverified,yes,no,2026-08-11,"RESOLVED, and the pattern is distinct from every other row. Screenshot 2026-08-11 13:39 shows a ""Gender Selection"" modal reading: ""The gender selection feature is available only to active users. Your CAML balance is an indicator of your activity. Chat with strangers to increase your CAML balance! It's free :) You still need: 30.00 CAML to unlock the gender filter!"" with OK and Refill buttons, on an account showing a 0.00 CAML balance. The filter is therefore gated behind a 30 CAML threshold in an in-app currency that can be earned free through chat activity OR bought outright — the same modal offers Refill as the alternative. A second screenshot shows the top-up screen: 55 CAML $5.50; 115 CAML $11 (save 4%); 160 CAML $15 (save 6%, Most Popular, includes 30 days Premium Gold); 330 CAML $30 (save 9%, includes Premium Gold). Note the smallest purchasable pack is 55 CAML while the filter needs 30, so the minimum spend to buy past the gate is $5.50 for roughly double the required balance. This contradicts Camloo's public claim that the gender filter is among ""basic functions... already available"" — a new account with zero balance cannot use it. But it is not a conventional paywall either, since the free earning path is real and is stated by the platform. Recorded as activity-gated rather than free or paywalled. signup_required set to yes: the gate is a per-account balance.",https://camloo.com/,paywall-screenshot
Bazoocam,no,none,free,,,n/a,no,n/a,2026-08-11,"No screenshot captured in this pass — status unchanged from public pages. No gender filter offered or mentioned; pairing is geolocation-based and supplemented by one-on-one games. Meta description states ""It's 100% free and doesn't require registration."" No premium tier or pricing surfaced on public pages.",https://bazoocam.org/,public-pages
Joingy,no,none,free,,,n/a,no,n/a,2026-08-11,"No screenshot captured in this pass — status unchanged from public pages. No gender filter offered or mentioned; matching is interest-keyword based only. States ""No Sign-Up or Registration"" and ""Free Chat With Strangers,"" with no premium tier surfaced.",https://joingy.com/,public-pages
OmeTV,no,none,free,,,n/a,no,n/a,2026-08-11,"No screenshot captured in this pass — status unchanged from public pages. Feature list includes country selection and omits gender filtering; ""set your gender"" on the homepage is a self-declaration, not partner filtering. Site maintains a /refund/ page, implying paid elements exist that are not documented on the homepage. Absence of a gender filter remains unconfirmed in-product.",https://ome.tv/,public-pages
Emerald Chat,yes,self-reported,paywalled,5.89,,unverified,yes,no,2026-08-11,"Paywall and price confirmed by screenshot 2026-08-11 11:51: ""Emerald Gold"" purchase modal, badged Most Popular, priced $5.89/mo with ""You can cancel your subscription at any time"" and a Buy Now button. Gender Filter is the first item in the Gold feature list, above Send pictures, Save time, Prestigious badge, Priority Matching and More freedom. Resolves pass 1, which found the filter advertised but could not establish free-versus-paid status or price. Cheapest confirmed subscription price in the audit. Modal shows four carousel segments, so additional tiers may exist that were not captured.",https://emeraldchat.com/,paywall-screenshot
CooMeet,yes,self-reported,paywalled,9.99,,unverified,yes,no,2026-08-11,"In-product paywall confirmed by screenshot 2026-08-11 11:54: banner ""Unlock this feature"" above a ""Get Premium"" modal. Offers captured: 1 month + 20 minutes at $0.99 behind a live countdown reading ""In 09:52, it will be 9.99"" and labelled ""78% choose this""; 1 month + 20 minutes at $9.99; 6 months + 100 minutes at $29.94, down from a struck-through $59.88. Footnote: ""USD – US dollar. Payments in any currency are processed at your bank's exchange rate."" Materially different from the minute packages published in CooMeet's own FAQ (10 min $5, 60 min $25, 360 min $100), so the in-product offer and the documented pricing do not match. price_usd_monthly records the undiscounted $9.99 monthly rate rather than the countdown price.",https://www.coomeet.com/,paywall-screenshot
LuckyCrush,yes,self-reported,paywalled,,16.99,unverified,yes,no,2026-08-11,"Paywall confirmed by screenshot 2026-08-11 11:57: ""Buy minutes for unlimited chats!"" modal stating ""There is no subscription. No recurring payments. Just buy what you need."" Packages: 15 minutes $16.99; 45 minutes $49.99, flagged HOT; 90 minutes $99.99. price_usd_one_time records the $16.99 entry package. Highest entry price in the audit and the only confirmed non-recurring model. Because LuckyCrush's product is mandatory opposite-gender matching, the purchase buys access to the gender-matched chat itself rather than a filter toggle. Resolves pass 1, which found no published pricing.",https://www.luckycrush.live/,paywall-screenshot
Monkey,yes,self-reported,paywalled,13.99,,unverified,yes,no,2026-08-11,"Corrects pass 1, which found no mention of a gender filter anywhere in Monkey's public copy. Screenshot 2026-08-11 12:04 shows a ""Monkey Plus"" modal with two tiers and an explicit feature matrix: Filter-Both is Unlimited on both tiers; **Filter-Gender shows 150 on Plus and Unlimited only on Plus+**; Match Preference is unavailable on Plus and included on Plus+. Plus pricing captured: 7 days $6.99 at 30% off, 30 days $13.99, ""then $6.99 every 7 day days until canceled,"" with a first-subscription discount of $4.89 per 7 days. Plus+ pricing was not visible in the capture. The comparison table does not label what the 150 counts — the figure appears without a unit, and the site owner's reading is that it denotes coins rather than filter activations, which would make the number of usable filter actions depend on an unpublished per-use coin cost. Either reading leaves the same substantive finding: on Plus the gender filter is a finite allowance that can be exhausted, and only Plus+ removes the cap. Recorded without a unit because the interface does not state one.",https://www.monkey.app/,paywall-screenshot
Uhmegle,no,none,free,,,n/a,no,n/a,2026-08-11,No screenshot captured in this pass — status unchanged. No longer operates its own chat service; routes visitors to umingle.com. No gender filter offered or mentioned.,https://uhmegle.com/,public-pages
Azar,yes,self-reported,paywalled,,,unverified,yes,no,2026-08-11,"Now sourced from Azar's own Help Center rather than third-party reviews. The Gems article states plainly: ""Gems are items used for premium services such as gender and region preferences, adding friends from the history tab, and making additional video calls."" The subscription article confirms three paid tiers — Azar Plus, Azar Premium and Azar Supreme — and carries the footnote: ""The number of Gender filter items varies based on the subscription tier."" Note the word items: on Azar the gender filter is a counted consumable, not an unlimited toggle, making it the second platform in this audit to meter the feature rather than unlock it (Monkey is the other). Azar publishes no gem prices; its own guidance is only ""You will be offered a list of the various quantities of gems desired"" in-app, so no figure is recorded. Separately, a screenshot 2026-08-11 13:48 shows azarlive.com gating the entire web product behind an age check before any content loads: ""We perform a quick age check to help everyone connect safely... we use automated technology (incl. 3rd party tools from Yoti) to assure liveness and estimate age from your selfie."" That gate explains why the domain returns no crawlable content. Azar is primarily a mobile app (Hyperconnect/Match Group); no in-product paywall was captured, so pricing remains unestablished.",https://help.azarlive.com/hc/en-us/articles/4410187383833-What-Are-Gems-And-What-Can-I-Do-With-It,public-pages
